Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
1872,0.074421,1
384,0,0
551,0.076289,1
54033,0,0
183,0.12034,1
633,0,0
401,0.093077,1
1143,0,0
279,0.068778,1
3949,0,0
296,0.10204,1
27551,0,0
294,0.096657,1
2586,0,0
246,0.086739,1
509,0,0
268,0.084053,1
52033,0,0
833,0.088899,1
3939,0,0
534,0.081399,1
1.7356e+005,0,0
388,0.14169,1
1137,0,0
274,0.15943,1
22004,0,0
280,0.076909,1
10909,0,0
368,0.085077,1
61635,0,0
331,0.087399,1
2037,0,0
578,0.084608,1
406,0,0
432,0.067596,1
3691,0,0
581,0.079885,1
57875,0,0
440,0.079034,1
2034,0,0
473,0.10836,1
2167,0,0
707,0.098561,1
14649,0,0
451,0.0788,1
6789,0,0
481,0.12684,1
1896,0,0
664,0.059727,1
78309,0,0
771,0.16439,1
589,0,0
427,0.08847,1
4078,0,0
340,0.099511,1
730,0,0
873,0.18118,1
77427,0,0
825,0.094403,1
5301,0,0
957,0.095737,1
2131,0,0
439,0.062791,1
4923,0,0
378,0.086362,1
53909,0,0
911,0.059925,1
4991,0,0
451,0.086211,1
22185,0,0
2003,0.12638,1
15794,0,0
1299,0.15535,1
2.2248e+005,0,0
521,0.064879,1
1510,0,0
591,0.073302,1
7022,0,0
505,0.060821,1
2486,0,0
489,0.10007,1
1.6537e+005,0,0
1645,0.091666,1
14058,0,0
2503,0.090912,1
368,0,0
354,0.090566,1
15662,0,0
685,0.059387,1
58597,0,0
573,0.13369,1
6219,0,0
740,0.086672,1
6215,0,0
400,0.074027,1
39849,0,0
2892,0.093204,1
25952,0,0
2189,0.13283,1
3999,0,0
595,0.12391,1
1763,0,0
1080,0.088698,1
62671,0,0
240,0.083863,1
11803,0,0
224,0.13126,1
14115,0,0
1317,0.18596,1
10963,0,0
1324,0.15963,1
56691,0,0
248,0.089351,1
777,0,0
224,0.066792,1
5876,0,0
373,0.18186,1
2788,0,0
216,0.10667,1
286,0,0
329,0.084406,1
74154,0,0
745,0.078161,1
1329,0,0
592,0.059885,1
795,0,0
672,0.08338,1
8468,0,0
591,0.07431,1
3419,0,0
391,0.12489,1
7721,0,0
644,0.068883,1
2.2698e+005,0,0
318,0.073665,1
26240,0,0
367,0.086911,1
72699,0,0
723,0.15232,1
3176,0,0
1154,0.096379,1
80882,0,0
332,0.09562,1
9701,0,0
342,0.079318,1
62128,0,0
553,0.076959,1
13945,0,0
523,0.1118,1
2.6641e+005,0,0
436,0.10998,1
13010,0,0
511,0.066969,1
73321,0,0
340,0.075998,1
-199,0,0
