Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
1394,0.14851,1
19233,0,0
558,0.15789,1
934,0,0
859,0.14069,1
1.3782e+005,0,0
3236,0.19123,1
12918,0,0
3004,0.18367,1
4970,0,0
892,0.13137,1
2.7208e+005,0,0
624,0.074256,1
259,0,0
572,0.084595,1
2.4529e+005,0,0
1361,0.14042,1
6248,0,0
1266,0.17735,1
4.8541e+005,0,0
863,0.12342,1
5460,0,0
440,0.10346,1
5585,0,0
606,0.11677,1
183,0,0
583,0.11857,1
563,0,0
396,0.091928,1
12795,0,0
1302,0.14187,1
668,0,0
310,0.18578,1
3619,0,0
233,0.17428,1
16181,0,0
1333,0.13226,1
2.5026e+005,0,0
326,0.11172,1
981,0,0
466,0.10058,1
3.024e+005,0,0
901,0.16691,1
6013,0,0
711,0.10742,1
873,0,0
500,0.12334,1
2227,0,0
224,0.068955,1
1395,0,0
329,0.13051,1
1358,0,0
187,0.20382,1
9128,0,0
741,0.20976,1
5009,0,0
280,0.13449,1
4849,0,0
1018,0.12964,1
12668,0,0
471,0.077359,1
50308,0,0
236,0.13326,1
109,0,0
921,0.19251,1
8880,0,0
1167,0.1793,1
1.3343e+005,0,0
397,0.12942,1
342,0,0
370,0.1176,1
48189,0,0
475,0.11655,1
693,0,0
598,0.089702,1
3.0011e+005,0,0
1949,0.21847,1
28735,0,0
2350,0.1839,1
1.2001e+006,0,0
798,0.12866,1
4056,0,0
1285,0.13044,1
2861,0,0
1015,0.12486,1
4.8095e+005,0,0
330,0.098643,1
205,0,0
184,0.098306,1
329,0,0
304,0.11107,1
1.1862e+005,0,0
1273,0.15918,1
7183,0,0
246,0.15493,1
3112,0,0
1100,0.15103,1
256,0,0
421,0.1019,1
72536,0,0
771,0.11735,1
7522,0,0
801,0.12197,1
1.2896e+005,0,0
794,0.12174,1
43836,0,0
381,0.063809,1
2484,0,0
501,0.10776,1
365,0,0
466,0.134,1
3.0164e+005,0,0
3798,0.23017,1
22473,0,0
255,0.11287,1
1229,0,0
195,0.073401,1
281,0,0
3594,0.24724,1
13609,0,0
355,0.14434,1
7337,0,0
354,0.10603,1
59207,0,0
1136,0.18508,1
760,0,0
382,0.16853,1
8174,0,0
233,0.16838,1
618,0,0
1152,0.18598,1
4.8437e+005,0,0
7338,0.31386,1
315,0,0
823,0.26433,1
184,0,0
7097,0.2854,1
236,0,0
1089,0.30347,1
1.5632e+005,0,0
3885,0.22423,1
18622,0,0
1115,0.11952,1
5405,0,0
3022,0.2285,1
1272,0,0
978,0.2732,1
1.4655e+005,0,0
476,0.16927,1
719,0,0
893,0.28275,1
514,0,0
4187,0.22491,1
1448,0,0
279,0.055677,1
152,0,0
7646,0.24333,1
784,0,0
4732,0.26511,1
47939,0,0
733,0.14149,1
1.8067e+005,0,0
713,0.13867,1
730,0,0
149,0.07545,1
2032,0,0
519,0.12593,1
992,0,0
844,0.085675,1
2613,0,0
451,0.071089,1
4.1091e+005,0,0
685,0.10429,1
47679,0,0
491,0.098627,1
729,0,0
943,0.072218,1
78674,0,0
491,0.10667,1
1304,0,0
533,0.1067,1
49053,0,0
4384,0.23942,1
238,0,0
706,0.10104,1
17510,0,0
4948,0.23454,1
65981,0,0
1118,0.19753,1
4831,0,0
359,0.18631,1
19364,0,0
1283,0.15728,1
92649,0,0
821,0.10241,1
1.2962e+005,0,0
519,0.086278,1
14716,0,0
529,0.094652,1
2442,0,0
520,0.081483,1
22040,0,0
516,0.07846,1
44556,0,0
581,0.076723,1
1709,0,0
330,0.066252,1
38945,0,0
686,0.06982,1
1.5168e+005,0,0
686,0.12869,1
4081,0,0
621,0.17919,1
5.776e+005,0,0
2574,0.28311,1
19463,0,0
603,0.1486,1
8314,0,0
2646,0.21908,1
2.2769e+005,0,0
808,0.043292,1
12153,0,0
575,0.066491,1
2680,0,0
451,0.077872,1
21305,0,0
671,0.057412,1
52496,0,0
508,0.084716,1
7772,0,0
588,0.11342,1
8648,0,0
581,0.070585,1
1.6829e+005,0,0
553,0.067962,1
4629,0,0
2498,0.21184,1
8351,0,0
2858,0.19082,1
1.5948e+005,0,0
569,0.069261,1
61765,0,0
536,0.070792,1
15136,0,0
578,0.066882,1
2751,0,0
659,0.084821,1
17530,0,0
607,0.071483,1
40097,0,0
781,0.084604,1
1.8048e+005,0,0
528,0.070338,1
36495,0,0
913,0.052498,1
40487,0,0
636,0.1539,1
1.0219e+005,0,0
245,0.077815,1
116,0,0
688,0.1163,1
3115,0,0
211,0.084162,1
2485,0,0
383,0.07253,1
585,0,0
484,0.078594,1
2448,0,0
1012,0.096099,1
16108,0,0
458,0.10253,1
2175,0,0
467,0.11455,1
1.2669e+005,0,0
938,0.060839,1
4860,0,0
548,0.050566,1
11607,0,0
1294,0.080508,1
