TankPressure,LinerTemperature,CFKTemperature
4.670000076,15.55001221,15.55001221
4.71999979,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.57000122,15.57000122
4.670000076,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.71999979,15.55001221,15.55001221
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.6,15.6
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.670000076,15.57000122,15.57000122
4.71999979,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.57000122,15.57000122
4.71999979,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.670000076,15.55001221,15.55001221
4.619999886,15.52001343,15.52001343
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.619999886,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.619999886,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.57000122,15.57000122
4.619999886,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.619999886,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.6,15.6
4.619999886,15.55001221,15.55001221
4.619999886,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.6,15.6
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.619999886,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.57000122,15.57000122
4.619999886,15.57000122,15.57000122
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.6,15.6
4.570000172,15.52001343,15.52001343
4.619999886,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.6,15.6
4.670000076,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.619999886,15.57000122,15.57000122
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.619999886,15.6,15.6
4.570000172,15.57000122,15.57000122
4.519999981,15.6,15.6
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.619999886,15.57000122,15.57000122
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.6,15.6
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.619999886,15.52001343,15.52001343
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.619999886,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.619999886,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.619999886,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.6,15.6
4.619999886,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.57000122,15.57000122
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.619999886,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.619999886,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.6,15.6
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.6,15.6
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.619999886,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.57000122,15.57000122
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.6,15.6
4.519999981,15.6,15.6
4.570000172,15.6,15.6
4.570000172,15.62999878,15.62999878
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.570000172,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.619999886,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.4999939,15.4999939
4.519999981,15.52001343,15.52001343
4.619999886,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.619999886,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.6,15.6
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.570000172,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.570000172,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.62999878,15.62999878
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.570000172,15.52001343,15.52001343
4.46999979,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.57000122,15.57000122
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.55001221,15.55001221
4.46999979,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.52001343,15.52001343
4.46999979,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.570000172,15.55001221,15.55001221
4.46999979,15.6,15.6
4.519999981,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.46999979,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.46999979,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.46999979,15.57000122,15.57000122
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.55001221,15.55001221
4.519999981,15.57000122,15.57000122
4.519999981,15.55001221,15.55001221
4.519999981,15.55001221,15.55001221
4.46999979,15.57000122,15.57000122
4.519999981,15.52001343,15.52001343
4.519999981,15.55001221,15.55001221
4.46999979,15.55001221,15.55001221
4.46999979,15.55001221,15.55001221
4.46999979,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.4999939,15.4999939
4.46999979,15.4999939,15.4999939
4.570000172,15.52001343,15.52001343
4.570000172,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.57000122,15.57000122
4.46999979,15.57000122,15.57000122
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.52001343,15.52001343
4.519999981,15.4999939,15.4999939
4.46999979,15.4999939,15.4999939
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.519999981,15.52001343,15.52001343
4.46999979,15.55001221,15.55001221
