Time,P_H2_In,F-H-735,F-H-725,dP_HS,dP_NS,F_H2O,F_H2O_kg/s,dP_H2O,T_HS_In,T_HS_Out,T_NS_In,T_NS_Out,T_H2O_In,T_H2O_Out
[s],[bar],[kg/h],[kg/h],[bar],[bar],[m**3/h],[kg/s],[bar],[K],[K],[K],[K],[degC],[degC]
50,149.17,11.81,0.03,0.09,-0.01,1.9,0.578,1.76,78.35,133.92,109.12,163.97,-19.5,-24.3
51,149.5,11.87,0.03,0.05,-0.02,1.91,0.581,1.76,78.35,133.94,109.12,163.97,-19.5,-24.3
52,149.5,11.96,0.03,0.05,-0.02,1.92,0.584,1.74,78.35,133.97,109.14,163.48,-19.6,-24.4
53,147.45,11.78,0.03,0.04,-0.02,1.92,0.584,1.73,78.35,134.04,110.7,164.07,-19.7,-24.4
54,148.1,11.78,0.03,0.08,-0.01,1.92,0.584,1.73,78.33,134.14,110.7,163.97,-20,-24.5
55,149.9,11.8,0.03,0.04,-0.02,1.92,0.584,1.72,78.33,134.26,109.4,163.97,-19.7,-24.6
56,149.9,11.98,0.03,0.04,-0.02,1.93,0.587,1.71,78.33,134.3,109.42,163.48,-19.7,-24.6
57,148.03,11.88,0.03,0.04,-0.02,1.94,0.59,1.7,78.4,134.43,109.42,163.97,-19.7,-24.7
58,147.2,11.88,0.03,0.08,-0.01,1.94,0.59,1.7,78.35,134.62,110.99,163.97,-19.7,-24.7
59,150.1,11.8,0.03,0.07,0,1.94,0.59,1.69,78.35,134.71,109.82,164.02,-19.7,-24.7
60,150.1,11.97,0.03,0.07,-0.02,1.95,0.593,1.68,78.35,134.79,109.75,163.48,-19.7,-24.6
61,148.47,11.92,0.03,0.04,-0.02,1.95,0.593,1.68,78.35,134.98,109.75,164.02,-19.7,-24.6
62,146.5,11.92,0.03,0.04,-0.02,1.96,0.596,1.67,78.4,135.13,111.37,164.02,-19.7,-24.6
63,150.23,11.76,0.03,0.09,-0.01,1.96,0.596,1.66,78.35,135.29,110.25,164.04,-19.8,-24.6
64,150.23,11.93,0.03,0.09,-0.02,1.97,0.599,1.66,78.35,135.54,110.25,163.58,-19.7,-24.6
65,149.02,11.95,0.03,0.04,-0.02,1.97,0.599,1.65,78.38,135.61,110.06,163.58,-20,-24.6
66,146.77,11.8,0.03,0.04,-0.02,1.98,0.602,1.64,78.42,135.75,111.75,164.09,-19.7,-24.6
67,149.4,11.8,0.03,0.09,-0.01,1.98,0.602,1.64,78.38,136.07,110.75,164.19,-19.6,-24.7
68,149.4,11.89,0.03,0.09,-0.02,1.98,0.602,1.64,78.35,136.16,110.75,163.67,-19.7,-24.7
69,149.42,11.97,0.03,0.05,-0.02,1.98,0.602,1.62,78.38,136.28,110.47,163.67,-19.8,-24.6
70,147.35,11.79,0.03,0.04,-0.02,1.99,0.605,1.61,78.42,136.5,112.16,164.21,-20.1,-24.6
71,148.32,11.79,0.03,0.08,-0.02,1.99,0.605,1.61,78.4,136.7,112.16,164.34,-19.8,-24.7
72,148.32,11.82,0.03,0.05,-0.02,1.99,0.605,1.6,78.4,136.89,111.23,164.34,-19.8,-24.7
