Time,P_H2_In,F-H-735,F-H-725,dP_HS,dP_NS,F_H2O,F_H2O_kg/s,dP_H2O,T_HS_In,T_HS_Out,T_NS_In,T_NS_Out,T_H2O_In,T_H2O_Out
[s],[bar],[kg/h],[kg/h],[bar],[bar],[m**3/h],[kg/s],[bar],[K],[K],[K],[K],[degC],[degC]
775,146.18,11.92,0.03,0.12,-0.02,3.02,0.891,0.53,80.92,283.29,199.66,285.44,38.3,33.6
776,143.98,11.92,0.03,0.11,-0.02,3.02,0.891,0.53,81.91,283.23,199.66,285.41,38.2,33.6
777,145.35,11.75,0.03,0.18,-0.01,3.02,0.891,0.53,82.21,283.23,203,285.41,38.2,33.6
778,145.35,11.78,0.03,0.18,-0.02,3.02,0.891,0.53,81.53,283.23,200.03,285.49,38.1,33.5
779,146.38,11.9,0.03,0.13,-0.02,3.02,0.891,0.51,81.01,283.18,199.66,285.57,38.1,33.5
780,144.4,11.77,0.03,0.11,-0.02,3.01,0.888,0.51,81.46,283.16,199.66,285.54,38.1,33.5
781,144.38,11.77,0.03,0.17,-0.01,3.01,0.888,0.54,82.14,283.16,202.95,285.54,38.1,33.4
782,144.38,11.74,0.03,0.11,-0.02,3.01,0.888,0.52,81.27,283.13,199.93,285.62,38.1,33.4
783,146.75,11.9,0.03,0.11,-0.02,3.01,0.888,0.52,80.94,283.11,199.93,285.7,38.1,33.4
784,144.95,11.82,0.03,0.11,-0.02,3.01,0.888,0.52,81.04,283.11,199.46,285.7,38.1,33.4
785,143.5,11.82,0.03,0.18,-0.02,3.01,0.888,0.53,82.21,283.08,202.78,285.65,38,33.4
786,147.05,11.71,0.03,0.13,-0.01,3.01,0.888,0.53,81.72,283.08,199.85,285.7,38,33.4
787,147.05,11.89,0.03,0.13,-0.02,3.01,0.888,0.53,80.9,283.03,199.85,285.8,38,33.3
788,145.53,11.86,0.03,0.12,-0.02,3.02,0.891,0.51,81.18,282.95,199.16,285.8,38,33.3
789,143.17,11.72,0.03,0.11,-0.02,3.02,0.891,0.51,81.86,282.95,202.53,285.77,38,33.3
790,146.9,11.72,0.03,0.18,-0.01,3.01,0.888,0.53,81.44,282.93,199.8,285.8,38,33.3
791,146.05,11.88,0.03,0.12,-0.02,3.01,0.888,0.53,80.97,282.93,199.8,285.9,38,33.2
792,146.05,11.91,0.03,0.12,-0.02,3.01,0.888,0.52,81.37,282.87,199.01,285.9,38,33.2
793,143.82,11.77,0.03,0.11,-0.02,3.02,0.891,0.52,82.12,282.87,202.38,285.85,38,33.2
794,145.75,11.82,0.03,0.17,-0.01,3.02,0.891,0.53,81.95,282.85,199.83,285.9,37.8,33.2
795,146.47,11.82,0.03,0.11,-0.02,3.02,0.891,0.53,80.9,282.77,199.83,285.98,37.9,33.2
796,144.45,11.93,0.03,0.11,-0.02,3.01,0.888,0.51,81.04,282.75,198.96,285.98,37.9,33.2
797,144.45,11.8,0.03,0.11,-0.02,3.01,0.888,0.53,81.65,282.75,202.35,285.95,37.8,33.1
798,144.77,11.76,0.03,0.15,-0.02,3.01,0.888,0.53,81.72,282.75,202.35,285.98,37.9,33.2
799,146.98,11.76,0.03,0.13,-0.01,3.01,0.888,0.53,81.04,282.72,199.78,285.98,37.9,33.1
800,145.15,11.93,0.03,0.11,-0.02,3.01,0.888,0.53,80.9,282.67,198.58,286.06,37.8,33.1
801,145.15,11.88,0.03,0.11,-0.02,3.01,0.888,0.53,81.83,282.64,201.95,286.08,37.9,33.1
802,144.15,11.74,0.03,0.12,-0.02,3.01,0.888,0.53,82.09,282.67,201.95,286.11,37.9,33.1
803,147.42,11.93,0.03,0.12,-0.04,3.01,0.888,0.53,80.9,282.62,199.61,286.11,37.9,33.1
804,145.78,11.93,0.03,0.11,-0.02,3.01,0.888,0.53,80.92,282.59,198.34,286.16,37.8,33.1
805,143.5,11.91,0.03,0.11,-0.02,3.01,0.888,0.52,81.37,282.57,201.7,286.13,37.8,33.1
806,143.5,11.75,0.03,0.11,-0.02,3.02,0.891,0.52,81.93,282.57,201.7,286.13,37.8,33.1
807,147.63,11.9,0.03,0.17,-0.01,3.02,0.891,0.53,81.18,282.52,199.63,286.16,37.9,33.1
808,146.33,11.9,0.03,0.12,-0.02,3.02,0.891,0.52,80.9,282.49,198.31,286.21,37.8,33
809,144.13,11.92,0.03,0.11,-0.02,3.02,0.891,0.52,81.6,282.44,198.31,286.21,37.8,33
810,144.13,11.73,0.03,0.11,-0.01,3.01,0.888,0.52,82.19,282.44,201.75,286.21,37.8,33
811,146.35,11.85,0.03,0.17,-0.01,3.01,0.888,0.52,81.67,282.41,199.95,286.24,37.9,33.1
812,146.75,11.94,0.03,0.12,-0.02,3.01,0.888,0.53,80.9,282.36,198.49,286.31,37.9,33.1
813,144.68,11.94,0.03,0.11,-0.02,3.01,0.888,0.53,81.18,282.39,198.49,286.29,37.8,33.1
814,145.35,11.85,0.03,0.17,-0.01,3.01,0.888,0.52,82.12,282.36,201.8,286.29,37.8,33
815,145.35,11.82,0.03,0.17,-0.02,3.01,0.888,0.52,81.44,282.34,200.05,286.29,37.8,33
816,147.27,11.95,0.03,0.12,-0.02,3.01,0.888,0.51,80.94,282.31,198.36,286.39,37.9,33
817,145.32,11.95,0.03,0.11,-0.02,3.01,0.888,0.51,81.37,282.28,198.36,286.36,37.9,33
818,144.55,11.87,0.03,0.19,-0.02,3.01,0.888,0.53,82.05,282.28,201.65,286.36,37.9,33
819,144.55,11.75,0.03,0.19,0,3.01,0.888,0.52,81.91,282.26,200.13,286.31,38,33
820,146,11.95,0.03,0.12,-0.02,3.01,0.888,0.52,80.85,282.21,198.19,286.42,37.9,33.1
821,146,11.93,0.03,0.12,-0.02,3.01,0.888,0.52,81.55,282.18,201.48,286.42,37.8,33.1
822,144.03,11.79,0.03,0.11,-0.02,3.02,0.891,0.52,82.14,282.21,201.48,286.44,37.8,33.1
823,147.8,11.94,0.03,0.18,-0.01,3.01,0.888,0.52,80.99,282.21,200.08,286.44,37.8,33.1
824,146.58,11.94,0.03,0.12,-0.02,3.01,0.888,0.53,80.85,282.13,198.04,286.52,37.8,33
825,144.38,11.81,0.03,0.11,-0.02,3.01,0.888,0.53,81.81,282.16,201.25,286.52,37.9,33
826,147.15,11.92,0.03,0.18,-0.01,3.01,0.888,0.53,81.34,282.21,200.05,286.49,38,33
827,147.27,11.92,0.03,0.12,-0.02,3.01,0.888,0.52,80.87,282.13,197.86,286.57,38,33.1
828,145.13,11.98,0.03,0.11,-0.02,3.01,0.888,0.52,81.27,282.08,197.86,286.52,38,33.1
829,145.13,11.84,0.03,0.11,-0.02,3.01,0.888,0.52,82.02,282.08,201.05,286.52,37.9,33.1
830,146.18,11.84,0.03,0.17,-0.02,3.01,0.888,0.53,81.83,282.1,200.05,286.54,37.9,33.1
831,147.8,11.84,0.03,0.13,-0.02,3.01,0.888,0.53,80.8,282,200.05,286.62,37.9,33.1
832,145.82,12.01,0.03,0.12,-0.02,3.01,0.888,0.53,80.97,282,197.71,286.62,37.8,33.1
833,145.82,11.85,0.03,0.15,-0.02,3.01,0.888,0.52,81.53,282,200.9,286.62,37.8,33
834,145.38,11.81,0.03,0.15,-0.02,3.01,0.888,0.53,81.55,282.05,200.2,286.6,37.8,33
835,148.28,12.03,0.03,0.11,-0.03,3.01,0.888,0.53,80.97,282,200.2,286.7,37.8,33.1
836,146.47,12.03,0.03,0.11,-0.02,3.01,0.888,0.52,80.8,281.95,197.79,286.7,37.8,33
837,146.47,11.95,0.03,0.17,-0.02,3.01,0.888,0.53,81.76,281.95,200.95,286.67,37.8,33
838,144.58,11.86,0.03,0.17,-0.02,3.02,0.891,0.52,82.02,282,200.55,286.67,37.8,33
839,148.65,11.99,0.03,0.12,-0.01,3.02,0.891,0.52,80.87,281.93,200.55,286.72,37.7,33
840,147.05,11.97,0.03,0.12,-0.02,3.01,0.888,0.52,80.87,281.95,197.99,286.72,37.7,33
841,144.75,11.97,0.03,0.11,-0.02,3.01,0.888,0.53,82.02,281.9,201.03,286.72,37.8,33
842,147.88,11.84,0.03,0.18,-0.01,3.01,0.888,0.53,81.86,281.93,200.75,286.72,37.8,33
843,147.88,11.98,0.03,0.18,-0.02,3.02,0.891,0.53,81.08,281.93,200.75,286.83,37.8,32.9
844,147.63,11.99,0.03,0.12,-0.02,3.01,0.888,0.53,80.92,281.9,197.99,286.83,37.8,32.9
845,145.45,11.99,0.03,0.11,-0.02,3.01,0.888,0.52,81.51,281.87,200.9,286.83,37.8,33
846,146.75,11.86,0.03,0.17,-0.02,3.01,0.888,0.52,82.12,281.9,200.9,286.8,37.7,33
847,146.75,11.89,0.03,0.17,-0.02,3.02,0.891,0.52,80.99,281.9,200.85,286.8,37.8,33
848,148.07,12.04,0.03,0.11,-0.02,3.01,0.888,0.52,80.8,281.8,197.99,286.88,37.7,33
849,146.05,12.04,0.03,0.11,-0.02,3.01,0.888,0.52,81.11,281.8,200.88,286.83,37.7,33
850,143.53,11.95,0.03,0.11,-0.02,3.01,0.888,0.52,82.7,281.8,200.88,286.75,37.7,33
851,143.53,11.71,0.03,0.11,-0.02,3.01,0.888,0.53,83.5,281.9,205.85,286.75,37.8,32.9
852,140.77,11.41,0.03,0.1,-0.02,3.01,0.888,0.51,84.32,281.95,211.05,286.67,37.7,32.9
853,138.03,11.08,0.03,0.1,-0.02,3.01,0.888,0.51,85.69,282.16,211.05,286.62,37.8,33
854,135.25,11.08,0.03,0.1,-0.02,3.01,0.888,0.52,86.15,282.28,215.69,286.62,37.7,33
855,132.57,10.81,0.03,0.1,-0.02,3.01,0.888,0.54,86.62,282.41,219.55,286.52,37.7,33
856,132.57,10.53,0.03,0.1,-0.02,3.01,0.888,0.52,87.42,282.72,222.74,286.42,37.7,33
857,129.95,10.25,0.03,0.1,-0.02,3.01,0.888,0.52,87.75,282.9,222.74,286.36,37.7,33
858,127.35,10.25,0.03,0.1,-0.02,3.01,0.888,0.52,88.05,283.05,225.41,286.36,37.7,33.1
859,124.92,10.02,0.03,0.09,-0.02,3.01,0.888,0.53,88.57,283.39,227.62,286.31,37.7,33.1
860,124.92,9.78,0.03,0.09,-0.02,3.01,0.888,0.53,88.81,283.62,227.62,286.26,37.7,33.2
861,122.48,9.56,0.03,0.09,-0.02,3.01,0.888,0.53,89.06,283.8,229.49,286.26,37.7,33.2
862,120.15,9.36,0.03,0.09,-0.02,3.01,0.888,0.53,89.44,284.16,231.05,286.21,37.8,33.2
863,117.83,9.36,0.03,0.09,-0.02,3.01,0.888,0.52,89.63,284.36,232.39,286.16,37.8,33.2
864,117.83,9.16,0.03,0.09,-0.02,3.01,0.888,0.52,89.81,284.57,232.39,286.13,37.8,33.3
865,115.58,8.93,0.03,0.09,-0.02,3.01,0.888,0.52,90.14,284.9,233.55,286.13,37.8,33.3
866,113.45,8.74,0.03,0.09,-0.02,3.01,0.888,0.52,90.28,285.11,234.59,286.11,37.7,33.4
867,111.33,8.74,0.03,0.09,-0.02,3.01,0.888,0.53,90.57,285.31,235.5,286.11,37.7,33.4
868,109.28,8.57,0.03,0.09,-0.02,3.01,0.888,0.53,90.71,285.7,235.5,286.11,37.7,33.4
869,109.28,8.43,0.03,0.09,-0.02,3.02,0.891,0.53,90.75,285.9,236.3,286.08,37.7,33.4
870,107.3,8.29,0.03,0.08,-0.02,3.01,0.888,0.52,90.94,286.11,236.94,286.08,37.7,33.5
871,105.37,8.29,0.03,0.08,-0.02,3.01,0.888,0.52,91.06,286.49,236.94,286.03,37.8,33.5
872,103.48,8.12,0.03,0.08,-0.02,3.01,0.888,0.53,91.13,286.72,237.54,286.03,37.8,33.5
873,103.48,7.97,0.03,0.08,-0.02,3.01,0.888,0.52,91.32,286.9,238.12,286.08,37.8,33.6
874,101.65,7.75,0.03,0.08,-0.02,3.01,0.888,0.53,91.41,287.34,238.63,286.03,37.8,33.7
875,99.85,7.64,0.03,0.08,-0.02,3.01,0.888,0.53,91.44,287.49,238.63,286.03,37.7,33.7
876,98.15,7.64,0.03,0.08,-0.02,3.01,0.888,0.53,91.6,287.65,239.13,286.11,37.7,33.7
877,98.15,7.49,0.03,0.08,-0.02,3.01,0.888,0.53,91.67,288.06,239.61,286.11,37.6,33.7
878,96.45,7.37,0.03,0.08,-0.02,3.01,0.888,0.53,91.74,288.26,239.61,286.13,37.6,33.7
879,94.83,7.24,0.03,0.07,-0.02,3.01,0.888,0.52,91.86,288.65,240.04,286.13,37.7,33.8
880,93.2,7.24,0.03,0.07,-0.02,3.01,0.888,0.52,91.88,288.83,240.4,286.16,37.7,33.8
881,91.63,7.11,0.03,0.07,-0.01,3.01,0.888,0.54,91.93,289.08,240.7,286.21,37.7,33.8
882,91.63,6.96,0.03,0.07,-0.01,3.01,0.888,0.54,92.02,289.39,240.7,286.24,37.7,33.9
883,90.1,6.85,0.03,0.07,-0.01,3.01,0.888,0.51,92.07,289.6,241.06,286.24,37.7,33.9
884,88.63,6.85,0.03,0.07,-0.01,3.01,0.888,0.53,92.14,289.78,241.36,286.29,37.8,34
885,87.18,6.73,0.03,0.07,-0.01,3.01,0.888,0.53,92.16,290.14,241.36,286.31,37.7,34
886,87.18,6.62,0.03,0.07,-0.01,3.02,0.891,0.52,92.23,290.32,241.64,286.31,37.7,34
887,85.75,6.49,0.03,0.07,-0.01,3.02,0.891,0.52,92.26,290.45,241.84,286.39,37.7,34.1
888,84.38,6.36,0.03,0.07,-0.01,3.02,0.891,0.52,92.35,290.83,242.07,286.44,37.7,34.1
889,83.05,6.36,0.03,0.06,-0.01,3.02,0.891,0.52,92.42,291.04,242.07,286.52,37.7,34.1
890,81.7,6.21,0.03,0.06,-0.01,3.02,0.891,0.51,92.49,291.4,242.27,286.52,37.7,34.2
891,81.7,6.08,0.03,0.06,-0.01,3.02,0.891,0.52,92.52,291.66,242.47,286.6,37.7,34.2
892,80.38,6.01,0.03,0.06,-0.01,3.02,0.891,0.53,92.54,291.78,242.65,286.65,37.7,34.3
893,79.13,5.94,0.03,0.06,-0.01,3.01,0.888,0.53,92.63,292.17,242.65,286.72,37.7,34.3
894,77.9,5.94,0.03,0.06,-0.01,3.01,0.888,0.52,92.63,292.32,242.88,286.72,37.7,34.4
895,76.7,5.84,0.03,0.06,-0.01,3.01,0.888,0.52,92.75,292.61,243.11,286.83,37.7,34.4
896,76.7,5.72,0.03,0.06,-0.01,3.01,0.888,0.53,92.8,292.81,243.34,286.88,37.7,34.4
897,75.52,5.61,0.03,0.06,-0.01,3.01,0.888,0.53,92.84,292.94,243.34,286.95,37.7,34.4
898,74.37,5.53,0.03,0.06,-0.01,3.01,0.888,0.52,92.91,293.2,243.56,286.95,37.7,34.5
899,73.25,5.53,0.03,0.06,-0.01,3.01,0.888,0.52,92.96,293.38,243.77,287.01,37.8,34.4
900,72.15,5.45,0.03,0.06,-0.01,3.01,0.888,0.52,93.03,293.69,243.99,287.11,37.7,34.5
901,72.15,5.33,0.03,0.06,-0.01,3.02,0.891,0.52,93.06,293.84,243.99,287.19,37.7,34.6
902,71.05,5.23,0.03,0.06,-0.01,3.02,0.891,0.52,93.17,293.97,244.25,287.19,37.7,34.6
903,69.97,5.14,0.03,0.06,-0.01,3.02,0.891,0.54,93.22,294.33,244.55,287.31,37.7,34.6
904,68.9,5.14,0.03,0.05,-0.01,3.02,0.891,0.52,93.22,294.49,244.83,287.36,37.7,34.6
905,67.9,5.04,0.03,0.05,-0.01,3.02,0.891,0.52,93.34,294.59,244.83,287.47,37.6,34.6
906,67.9,4.99,0.03,0.05,-0.01,3.02,0.891,0.53,93.38,294.92,245.06,287.47,37.7,34.6
907,66.92,4.87,0.03,0.05,-0.01,3.01,0.888,0.53,93.46,295.05,245.36,287.57,37.6,34.6
908,65.88,4.87,0.03,0.05,-0.01,3.01,0.888,0.51,93.55,295.34,245.36,287.67,37.7,34.6
909,64.92,4.78,0.03,0.05,-0.01,3.01,0.888,0.51,93.6,295.46,245.54,287.67,37.6,34.6
910,64.92,4.7,0.03,0.05,-0.01,3.01,0.888,0.52,93.67,295.57,245.79,287.78,37.6,34.7
911,63.98,4.65,0.03,0.05,-0.01,3.01,0.888,0.52,93.78,295.82,245.94,287.85,37.6,34.8
912,63.03,4.6,0.03,0.05,-0.01,3.01,0.888,0.52,93.85,295.93,245.94,287.98,37.6,34.8
913,62.15,4.6,0.03,0.05,-0.01,3.01,0.888,0.52,93.97,296.06,246.12,287.98,37.6,34.8
914,61.18,4.49,0.03,0.05,-0.01,3.01,0.888,0.52,94.04,296.31,246.32,288.06,37.6,34.8
915,61.18,4.42,0.03,0.05,-0.01,3.01,0.888,0.52,94.11,296.44,246.58,288.16,37.6,34.8
916,60.35,4.35,0.03,0.05,-0.01,3.02,0.891,0.52,94.23,296.6,246.58,288.26,37.6,34.8
917,59.43,4.35,0.03,0.05,-0.01,3.01,0.888,0.53,94.28,296.8,246.73,288.26,37.6,34.9
918,58.55,4.3,0.03,0.05,-0.01,3.01,0.888,0.52,94.37,296.93,246.93,288.37,37.6,34.9
919,58.55,4.22,0.03,0.05,-0.01,3.01,0.888,0.52,94.51,297.11,246.93,288.47,37.6,34.9
920,57.73,4.15,0.03,0.04,-0.01,3.01,0.888,0.52,94.56,297.27,247.14,288.47,37.6,34.9
921,56.9,4.07,0.03,0.05,-0.01,3.01,0.888,0.52,94.63,297.37,247.34,288.57,37.6,34.9
922,56.07,4.07,0.03,0.04,-0.01,3.01,0.888,0.53,94.77,297.57,247.54,288.67,37.6,34.9
923,55.3,3.98,0.03,0.04,-0.01,3.01,0.888,0.53,94.84,297.65,247.54,288.75,37.6,34.9
924,55.3,3.92,0.03,0.04,-0.01,3.01,0.888,0.53,94.98,297.75,247.74,288.75,37.6,34.9
925,54.47,3.86,0.03,0.04,-0.01,3.01,0.888,0.52,95.03,297.96,247.9,288.85,37.6,35
926,53.7,3.86,0.03,0.04,-0.01,3.01,0.888,0.53,95.17,298.06,248.07,288.93,37.6,35
927,52.93,3.81,0.03,0.04,-0.01,3.01,0.888,0.53,95.29,298.17,248.07,289.03,37.6,35
928,52.93,3.72,0.03,0.04,-0.01,3.01,0.888,0.52,95.41,298.37,248.25,289.03,37.6,35
929,52.22,3.69,0.03,0.04,-0.01,3.01,0.888,0.53,95.45,298.45,248.43,289.14,37.6,35
930,51.45,3.64,0.03,0.04,-0.01,3.02,0.891,0.53,95.62,298.6,248.43,289.24,37.5,35
931,50.75,3.64,0.03,0.04,-0.01,3.02,0.891,0.53,95.69,298.68,248.63,289.24,37.5,35
932,50,3.58,0.03,0.04,-0.01,3.02,0.891,0.53,95.78,298.78,248.76,289.37,37.5,35
933,50,3.52,0.03,0.04,-0.01,3.02,0.891,0.52,95.88,298.96,248.91,289.42,37.4,35
934,49.28,3.48,0.03,0.04,-0.01,3.01,0.888,0.52,95.97,299.04,248.91,289.52,37.5,35.1
935,48.65,3.48,0.03,0.04,-0.01,3.01,0.888,0.52,96.04,299.12,249.09,289.52,37.5,35
936,47.93,3.41,0.03,0.04,-0.01,3.01,0.888,0.53,96.21,299.27,249.21,289.62,37.5,35.1
937,47.93,3.33,0.03,0.04,-0.01,3.01,0.888,0.52,96.3,299.38,249.21,289.73,37.5,35.1
938,47.28,3.28,0.03,0.04,-0.01,3.01,0.888,0.52,96.39,299.43,249.34,289.73,37.5,35.1
939,46.65,3.22,0.03,0.04,-0.01,3.01,0.888,0.52,96.58,299.58,249.47,289.8,37.4,35.1
940,46.55,3.22,0.03,-0.01,-0.01,3.01,0.888,0.52,97.05,299.63,249.49,289.91,37.4,35.1
941,46.65,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,101.01,299.68,249.49,290.09,37.4,35.1
942,46.65,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,102.59,299.68,249.16,290.09,37.4,35.1
943,46.65,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,103.7,299.68,248.73,290.27,37.4,35.1
944,46.85,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,104.77,299.68,248.25,290.5,37.4,35.1
945,47.05,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,105.03,299.68,248.25,290.73,37.3,35.1
946,47.05,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.52,105.36,299.74,247.79,290.73,37.3,35.1
947,47.2,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.51,105.45,299.79,247.36,290.96,37.3,35.2
948,47.35,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.53,105.57,299.79,246.96,291.24,37.4,35.2
949,47.48,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.53,105.83,299.92,246.96,291.45,37.3,35.2
950,47.6,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.52,105.88,299.97,246.58,291.45,37.3,35.3
951,47.6,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.52,106,299.99,246.17,291.73,37.3,35.4
952,47.68,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.51,106.23,300.1,246.17,291.91,37.3,35.4
953,47.77,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.51,106.35,300.18,245.87,291.91,37.3,35.4
954,47.88,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.52,106.59,300.23,245.51,292.09,37.2,35.5
955,47.95,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.53,106.68,300.33,245.21,292.3,37.2,35.5
956,47.95,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.53,106.85,300.36,245.21,292.48,37.3,35.5
957,48.05,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.53,107.08,300.51,244.93,292.48,37.2,35.6
958,48.15,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.52,107.18,300.61,244.65,292.68,37.2,35.6
959,48.22,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.52,107.32,300.64,244.4,292.86,37.2,35.6
960,48.22,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.52,107.58,300.77,244.4,293.02,37.2,35.6
961,48.28,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,107.72,300.82,244.1,293.02,37.2,35.6
962,48.33,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,107.82,300.92,243.89,293.17,37.1,35.6
963,48.42,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.52,108.1,301.03,243.69,293.33,37.1,35.6
964,48.48,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.52,108.22,301.05,243.69,293.33,37.1,35.6
965,48.48,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,108.31,301.13,243.49,293.51,37.1,35.6
966,48.53,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,108.6,301.26,243.28,293.66,37.1,35.6
967,48.57,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,108.74,301.29,243.28,293.82,37.1,35.6
968,48.68,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.52,108.97,301.34,243.16,293.82,37.1,35.6
969,48.68,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,109.14,301.44,242.98,293.97,37.1,35.7
970,48.7,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,109.26,301.52,242.83,294.1,37.1,35.6
971,48.77,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.51,109.4,301.54,242.83,294.1,37,35.7
972,48.82,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,109.66,301.7,242.7,294.23,37,35.6
973,48.82,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,109.8,301.75,242.58,294.41,37,35.6
974,48.88,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,109.94,301.8,242.58,294.54,37,35.7
975,48.9,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,110.23,301.93,242.47,294.54,37,35.7
976,48.97,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,110.37,301.98,242.35,294.64,37,35.7
977,49.02,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.53,110.63,302.06,242.27,294.77,37,35.7
978,49.02,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.53,110.77,302.16,242.27,294.77,37,35.7
979,49.08,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,110.85,302.24,242.14,294.9,37,35.7
980,49.13,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,111.13,302.27,242.07,295,37,35.7
981,49.17,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,111.28,302.4,242.07,295.13,37,35.7
982,49.17,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,111.42,302.47,242.02,295.13,37,35.7
983,49.17,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.53,111.66,302.58,241.94,295.26,37,35.7
984,49.25,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,111.8,302.58,241.87,295.36,37,35.7
985,49.25,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,111.94,302.68,241.87,295.46,36.9,35.7
986,49.25,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.52,112.18,302.71,241.82,295.46,37,35.7
987,49.33,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.53,112.37,302.78,241.77,295.57,37,35.7
988,49.35,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,112.49,302.81,241.77,295.67,37,35.7
989,49.4,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,112.75,302.96,241.71,295.67,36.9,35.7
990,49.45,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.52,112.87,302.99,241.66,295.77,36.9,35.7
991,49.45,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.52,113.04,303.04,241.64,295.9,36.9,35.7
992,49.48,-0.14,0.03,-0.01,-0.01,3.02,0.891,0.52,113.28,303.12,241.64,295.98,36.9,35.7
993,49.5,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.53,113.35,303.17,241.61,295.98,36.9,35.7
994,49.55,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.52,113.61,303.2,241.56,296.08,36.9,35.7
995,49.55,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.53,113.76,303.3,241.56,296.18,36.9,35.7
996,49.6,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.53,113.9,303.4,241.56,296.18,36.9,35.7
997,49.62,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,114.16,303.4,241.56,296.29,36.9,35.7
998,49.68,-0.15,0.03,-0.01,-0.01,3.02,0.891,0.51,114.26,303.51,241.54,296.39,36.9,35.7
999,49.72,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.51,114.38,303.56,241.54,296.49,36.9,35.7
1000,49.72,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,114.69,303.61,241.51,296.49,36.9,35.7
1001,49.72,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.53,114.76,303.69,241.49,296.57,36.9,35.7
1002,49.77,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,114.9,303.71,241.51,296.65,36.9,35.7
1003,49.77,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,115.21,303.82,241.51,296.75,36.8,35.7
1004,49.77,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.52,115.33,303.84,241.54,296.75,36.9,35.7
1005,49.85,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.53,115.61,303.89,241.51,296.85,36.9,35.7
1006,49.88,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.51,115.71,303.97,241.51,296.93,36.9,35.7
1007,49.9,-0.14,0.03,-0.01,-0.01,3.01,0.888,0.51,115.85,304.02,241.54,296.93,36.9,35.7
1008,49.93,-0.15,0.03,-0.01,-0.01,3.01,0.888,0.54,116.02,304,241.54,297.01,36.9,35.7
