Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
637,0.1579,1
292,0,0
433,0.11273,1
29192,0,0
1510,0.45695,1
239,0,0
3689,0.38425,1
8823,0,0
5716,0.40307,1
55429,0,0
324,0.20082,1
77858,0,0
658,0.1568,1
12513,0,0
368,0.12789,1
4953,0,0
909,0.099282,1
51295,0,0
582,0.072725,1
3789,0,0
795,0.13547,1
691,0,0
756,0.1338,1
5213,0,0
430,0.14252,1
4840,0,0
503,0.16951,1
2255,0,0
855,0.073652,1
13124,0,0
998,0.091253,1
4.9976e+005,0,0
3805,0.23163,1
74,0,0
231,0.13366,1
3116,0,0
3609,0.2843,1
6671,0,0
988,0.077053,1
630,0,0
275,0.11197,1
2.6345e+005,0,0
568,0.1193,1
9590,0,0
541,0.13823,1
3.8142e+005,0,0
607,0.064766,1
11332,0,0
529,0.11473,1
5594,0,0
614,0.07915,1
15224,0,0
756,0.096627,1
51892,0,0
583,0.064561,1
11227,0,0
557,0.11574,1
2.5272e+005,0,0
460,0.21049,1
1205,0,0
821,0.1442,1
919,0,0
235,0.14533,1
925,0,0
695,0.12572,1
1.7976e+005,0,0
520,0.097608,1
14902,0,0
550,0.1205,1
1059,0,0
276,0.069401,1
51012,0,0
774,0.064123,1
11005,0,0
538,0.10546,1
5445,0,0
669,0.06634,1
15312,0,0
1065,0.089975,1
51655,0,0
473,0.076181,1
11394,0,0
469,0.11262,1
5569,0,0
496,0.081098,1
15140,0,0
682,0.11976,1
50152,0,0
516,0.071596,1
14028,0,0
491,0.090998,1
20448,0,0
491,0.088847,1
597,0,0
307,0.14689,1
49790,0,0
546,0.079649,1
13012,0,0
559,0.1624,1
21670,0,0
479,0.14457,1
1799,0,0
633,0.14948,1
3.0824e+005,0,0
912,0.087692,1
17867,0,0
532,0.074732,1
14614,0,0
638,0.079389,1
5.7069e+005,0,0
530,0.064292,1
11212,0,0
462,0.12172,1
5843,0,0
492,0.074699,1
16125,0,0
647,0.095626,1
49060,0,0
456,0.11,1
35208,0,0
1416,0.074522,1
51113,0,0
660,0.10454,1
11279,0,0
679,0.11756,1
5442,0,0
624,0.073706,1
15378,0,0
688,0.079237,1
288,0,0
331,0.1143,1
1.3472e+006,0,0
746,0.078216,1
5318,0,0
5396,0.22748,1
1789,0,0
453,0.16426,1
5409,0,0
5303,0.27326,1
794,0,0
349,0.085878,1
2.5167e+005,0,0
508,0.086154,1
16413,0,0
690,0.075676,1
55683,0,0
1029,0.079266,1
1139,0,0
772,0.077473,1
2223,0,0
318,0.076736,1
75856,0,0
237,0.06112,1
378,0,0
12488,0.30947,1
2512,0,0
10575,0.36139,1
1484,0,0
5315,0.25055,1
383,0,0
254,0.072055,1
1.4392e+005,0,0
359,0.067958,1
2741,0,0
420,0.069322,1
412,0,0
364,0.069435,1
987,0,0
619,0.08519,1
16567,0,0
1082,0.12323,1
1621,0,0
683,0.097896,1
1914,0,0
453,0.11497,1
302,0,0
210,0.077691,1
1252,0,0
607,0.072933,1
1878,0,0
318,0.15116,1
593,0,0
255,0.079067,1
50183,0,0
5611,0.28643,1
693,0,0
8827,0.37888,1
4635,0,0
14675,0.28842,1
4637,0,0
219,0.15122,1
46638,0,0
339,0.094248,1
356,0,0
380,0.11727,1
333,0,0
172,0.097257,1
3144,0,0
136,0.11448,1
675,0,0
5888,0.41004,1
555,0,0
5494,0.36387,1
5207,0,0
328,0.071248,1
3265,0,0
334,0.096481,1
3371,0,0
835,0.16378,1
72308,0,0
456,0.10487,1
15028,0,0
395,0.11818,1
357,0,0
220,0.069735,1
2.057e+006,0,0
381,0.1147,1
19437,0,0
194,0.13915,1
154,0,0
272,0.099523,1
48852,0,0
328,0.082265,1
122,0,0
3810,0.26335,1
994,0,0
10674,0.30325,1
1149,0,0
10833,0.22876,1
1124,0,0
7526,0.19946,1
993,0,0
471,0.42123,1
4845,0,0
484,0.10421,1
9243,0,0
465,0.13317,1
1.2916e+005,0,0
896,0.17478,1
3678,0,0
745,0.48701,1
72555,0,0
1824,0.15207,1
8447,0,0
1327,0.33876,1
6334,0,0
743,0.064622,1
331,0,0
1509,0.087591,1
5527,0,0
308,0.090559,1
248,0,0
1149,0.084168,1
3979,0,0
836,0.11888,1
1734,0,0
220,0.11581,1
1468,0,0
1012,0.3163,1
51065,0,0
10088,0.31845,1
2510,0,0
3526,0.25263,1
412,0,0
1338,0.13493,1
296,0,0
198,0.15743,1
259,0,0
4545,0.12788,1
343,0,0
2471,0.12701,1
6973,0,0
1481,0.11772,1
1.3902e+005,0,0
2778,0.19905,1
748,0,0
668,0.14738,1
232,0,0
672,0.0375,1
2821,0,0
733,0.18989,1
198,0,0
1506,0.14159,1
342,0,0
1627,0.049363,1
579,0,0
1097,0.15206,1
7582,0,0
1288,0.15513,1
960,0,0
2027,0.14451,1
285,0,0
7568,0.16351,1
7823,0,0
2119,0.058458,1
41811,0,0
4494,0.22391,1
9187,0,0
499,0.070453,1
198,0,0
816,0.1653,1
275,0,0
19870,0.25976,1
1313,0,0
471,0.093995,1
3053,0,0
1043,0.30241,1
11613,0,0
673,0.15683,1
1.2166e+005,0,0
320,0.11897,1
959,0,0
606,0.15744,1
306,0,0
549,0.12874,1
708,0,0
736,0.23216,1
9047,0,0
759,0.49886,1
8975,0,0
878,0.20648,1
2674,0,0
1084,0.1484,1
1689,0,0
1924,0.11383,1
1044,0,0
539,0.4116,1
49507,0,0
1095,0.12299,1
273,0,0
1384,0.11016,1
211,0,0
10493,0.20521,1
2104,0,0
13616,0.2937,1
307,0,0
5435,0.33267,1
970,0,0
607,0.11832,1
2.6629e+005,0,0
259,0.085973,1
271,0,0
5352,0.3517,1
5670,0,0
4827,0.47835,1
25381,0,0
511,0.14459,1
2842,0,0
812,0.11743,1
6.3998e+005,0,0
707,0.091307,1
13053,0,0
504,0.12204,1
4.6281e+005,0,0
1003,0.08548,1
1184,0,0
736,0.067717,1
10372,0,0
497,0.088326,1
3.3355e+005,0,0
