Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
904,0.17332,1
1753,0,0
943,0.11445,1
693,0,0
262,0.11639,1
2511,0,0
844,0.093378,1
5054,0,0
428,0.15219,1
3711,0,0
535,0.11034,1
62982,0,0
787,0.20827,1
1298,0,0
1342,0.16904,1
1592,0,0
588,0.15249,1
1727,0,0
436,0.10281,1
55062,0,0
778,0.1529,1
613,0,0
3385,0.088071,1
27902,0,0
1388,0.17256,1
185,0,0
189,0.097697,1
2586,0,0
826,0.096803,1
48507,0,0
670,0.16284,1
751,0,0
890,0.09949,1
10377,0,0
717,0.19097,1
621,0,0
462,0.097314,1
1421,0,0
607,0.18413,1
2244,0,0
626,0.196,1
258,0,0
266,0.10539,1
234,0,0
494,0.19803,1
11097,0,0
4702,0.083884,1
19140,0,0
515,0.089863,1
41,0,0
404,0.044138,1
6357,0,0
1624,0.19449,1
1098,0,0
448,0.10526,1
33099,0,0
597,0.16262,1
125,0,0
826,0.12583,1
6399,0,0
1306,0.15753,1
14687,0,0
572,0.12041,1
186,0,0
544,0.10219,1
6960,0,0
2425,0.14994,1
10578,0,0
2136,0.16455,1
40226,0,0
589,0.12701,1
813,0,0
271,0.12724,1
5428,0,0
496,0.13527,1
58180,0,0
3251,0.11227,1
500,0,0
3744,0.086866,1
18138,0,0
2553,0.11426,1
5274,0,0
1280,0.13162,1
4537,0,0
1322,0.16612,1
2276,0,0
374,0.10685,1
744,0,0
865,0.11805,1
48153,0,0
705,0.16298,1
156,0,0
287,0.11016,1
273,0,0
592,0.16951,1
455,0,0
7326,0.10069,1
12420,0,0
3000,0.12854,1
7460,0,0
1611,0.17184,1
2272,0,0
447,0.076762,1
228,0,0
228,0.10333,1
439,0,0
623,0.076908,1
85599,0,0
817,0.17476,1
2688,0,0
593,0.14043,1
339,0,0
344,0.11551,1
44017,0,0
844,0.13811,1
336,0,0
3076,0.10044,1
28368,0,0
1822,0.15452,1
1751,0,0
436,0.078628,1
152,0,0
471,0.12466,1
48867,0,0
841,0.12828,1
459,0,0
3190,0.094153,1
7370,0,0
1088,0.20794,1
1254,0,0
435,0.094544,1
2135,0,0
646,0.1928,1
1407,0,0
745,0.18401,1
101,0,0
1261,0.17423,1
6713,0,0
1086,0.22416,1
2643,0,0
486,0.088435,1
671,0,0
555,0.11436,1
6226,0,0
657,0.20574,1
1062,0,0
394,0.17514,1
307,0,0
405,0.093081,1
74292,0,0
627,0.16805,1
856,0,0
2678,0.3258,1
97,0,0
2291,0.32202,1
1549,0,0
461,0.13555,1
743,0,0
471,0.12481,1
6231,0,0
469,0.15151,1
393,0,0
483,0.12037,1
10370,0,0
1041,0.13452,1
67713,0,0
886,0.1194,1
480,0,0
575,0.23645,1
40091,0,0
5101,0.11331,1
14850,0,0
2017,0.12391,1
15292,0,0
1161,0.19997,1
276,0,0
391,0.12035,1
1740,0,0
454,0.117,1
1222,0,0
943,0.10484,1
47263,0,0
762,0.14416,1
434,0,0
5255,0.058371,1
6031,0,0
2106,0.11188,1
19177,0,0
1241,0.19225,1
1870,0,0
466,0.092251,1
862,0,0
178,0.10736,1
193,0,0
469,0.058299,1
63008,0,0
813,0.16312,1
2252,0,0
235,0.11619,1
517,0,0
491,0.22417,1
16930,0,0
558,0.13341,1
714,0,0
529,0.17384,1
624,0,0
190,0.12055,1
188,0,0
347,0.10088,1
46442,0,0
807,0.14846,1
709,0,0
633,0.092669,1
28599,0,0
619,0.12035,1
109,0,0
3291,0.17872,1
1937,0,0
1047,0.10858,1
8499,0,0
3845,0.19937,1
36182,0,0
822,0.16428,1
1087,0,0
