Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
160,0,0
169,0.128,1
15682,0,0
599,0.11428,1
317,0,0
469,0.15375,1
987,0,0
374,0.1128,1
9205,0,0
227,0.19466,1
42961,0,0
490,0.2057,1
193,0,0
424,0.22491,1
1032,0,0
460,0.2569,1
14409,0,0
241,0.11578,1
148,0,0
268,0.19971,1
74570,0,0
231,0.1336,1
288,0,0
1675,0.2812,1
4559,0,0
695,0.11218,1
3944,0,0
575,0.11603,1
518,0,0
662,0.12702,1
6591,0,0
1624,0.29438,1
8623,0,0
333,0.15209,1
5244,0,0
226,0.18991,1
1.3694e+005,0,0
161,0.22717,1
176,0,0
1984,0.24951,1
9499,0,0
743,0.17964,1
3756,0,0
1593,0.29486,1
62042,0,0
647,0.15117,1
18487,0,0
248,0.12368,1
151,0,0
250,0.22389,1
66039,0,0
570,0.19463,1
20571,0,0
554,0.18859,1
478,0,0
177,0.13356,1
6933,0,0
167,0.14857,1
1602,0,0
217,0.11977,1
55331,0,0
701,0.14383,1
19631,0,0
215,0.17008,1
71,0,0
243,0.22442,1
66054,0,0
539,0.18883,1
19407,0,0
282,0.1314,1
91,0,0
237,0.22519,1
5931,0,0
432,0.16198,1
617,0,0
428,0.14278,1
7689,0,0
256,0.14013,1
2279,0,0
238,0.1081,1
292,0,0
189,0.10845,1
51078,0,0
227,0.18345,1
415,0,0
224,0.070849,1
503,0,0
133,0.22153,1
1106,0,0
201,0.1873,1
9815,0,0
388,0.13559,1
4073,0,0
563,0.088756,1
706,0,0
308,0.14736,1
4198,0,0
527,0.14019,1
575,0,0
447,0.15716,1
8598,0,0
418,0.12684,1
5410,0,0
216,0.14779,1
53128,0,0
1386,0.15456,1
6593,0,0
1511,0.13698,1
248,0,0
172,0.13587,1
4951,0,0
629,0.2549,1
7768,0,0
508,0.43845,1
60084,0,0
329,0.14043,1
9047,0,0
203,0.12059,1
70215,0,0
657,0.15402,1
19253,0,0
232,0.13233,1
139,0,0
238,0.29432,1
5611,0,0
711,0.090099,1
2386,0,0
460,0.15115,1
56514,0,0
566,0.17336,1
2434,0,0
819,0.057666,1
2192,0,0
1018,0.17349,1
12719,0,0
265,0.10863,1
164,0,0
254,0.25527,1
18541,0,0
289,0.14567,1
716,0,0
311,0.12895,1
46036,0,0
734,0.13802,1
19318,0,0
231,0.13142,1
107,0,0
261,0.26406,1
15139,0,0
301,0.090908,1
9752,0,0
244,0.10418,1
40003,0,0
618,0.16905,1
20030,0,0
218,0.13331,1
182,0,0
255,0.18153,1
5442,0,0
432,0.16528,1
556,0,0
464,0.13676,1
4987,0,0
1072,0.16146,1
8176,0,0
893,0.14388,1
1284,0,0
362,0.14231,1
57664,0,0
175,0.25668,1
111,0,0
934,0.1122,1
4578,0,0
920,0.158,1
1129,0,0
165,0.12793,1
5305,0,0
640,0.22192,1
4822,0,0
630,0.36713,1
57251,0,0
413,0.11741,1
1873,0,0
279,0.086235,1
4187,0,0
857,0.12757,1
8818,0,0
1383,0.12044,1
4763,0,0
804,0.34212,1
63252,0,0
153,0.20662,1
237,0,0
158,0.12072,1
79824,0,0
543,0.18132,1
19065,0,0
516,0.17125,1
228,0,0
173,0.14103,1
7247,0,0
602,0.23869,1
1723,0,0
502,0.45692,1
11264,0,0
449,0.22136,1
12502,0,0
426,0.21782,1
31592,0,0
578,0.16391,1
18404,0,0
240,0.14788,1
78,0,0
260,0.18758,1
66372,0,0
722,0.12428,1
19035,0,0
275,0.11396,1
69,0,0
258,0.20531,1
665,0,0
604,0.2265,1
4.1534e+005,0,0
317,0.13977,1
3.5575e+005,0,0
743,0.12532,1
73,0,0
350,0.17129,1
6.9867e+005,0,0
211,0.15788,1
39,0,0
376,0.19763,1
2.2363e+006,0,0
432,0.1061,1
133,0,0
280,0.095791,1
1.0007e+005,0,0
431,0.10535,1
3724,0,0
705,0.11721,1
247,0,0
1443,0.1852,1
150,0,0
1960,0.064913,1
5571,0,0
491,0.32591,1
108,0,0
651,0.23395,1
50149,0,0
1378,0.25608,1
11853,0,0
1196,0.28531,1
66921,0,0
1342,0.22536,1
18072,0,0
1210,0.26564,1
8041,0,0
747,0.088129,1
365,0,0
771,0.21551,1
1220,0,0
1134,0.30675,1
45967,0,0
1547,0.23509,1
12731,0,0
201,0.15793,1
635,0,0
1039,0.18066,1
3957,0,0
1275,0.22752,1
138,0,0
212,0.14317,1
139,0,0
818,0.2191,1
68123,0,0
1123,0.32813,1
2281,0,0
843,0.22549,1
1361,0,0
426,0.15449,1
231,0,0
550,0.25932,1
7826,0,0
1665,0.23076,1
373,0,0
603,0.166,1
9222,0,0
1581,0.26805,1
11229,0,0
235,0.13188,1
264,0,0
1173,0.28111,1
42089,0,0
1082,0.36276,1
11700,0,0
1106,0.34745,1
1.0403e+005,0,0
1289,0.17548,1
59822,0,0
1296,0.21716,1
9391,0,0
2099,0.20032,1
78205,0,0
163,0.23407,1
265,0,0
173,0.090462,1
77639,0,0
1145,0.31519,1
768,0,0
1196,0.26182,1
4158,0,0
1076,0.13259,1
3880,0,0
1175,0.14518,1
7002,0,0
1031,0.11953,1
1339,0,0
483,0.15309,1
2736,0,0
1080,0.16243,1
55303,0,0
1594,0.25837,1
12427,0,0
1168,0.35537,1
10594,0,0
180,0.16006,1
738,0,0
202,0.093706,1
13708,0,0
959,0.62001,1
2209,0,0
968,0.27101,1
2426,0,0
2300,0.25217,1
68429,0,0
1174,0.21383,1
97305,0,0
487,0.22486,1
1056,0,0
416,0.37159,1
53060,0,0
645,0.17633,1
1187,0,0
485,0.21796,1
1369,0,0
759,0.43354,1
947,0,0
1195,0.31185,1
13110,0,0
1798,0.24169,1
62725,0,0
1149,0.34152,1
464,0,0
999,0.13805,1
501,0,0
581,0.077257,1
15860,0,0
1685,0.22862,1
15088,0,0
2849,0.23088,1
75323,0,0
618,0.13945,1
483,0,0
935,0.13906,1
92434,0,0
972,0.16654,1
1179,0,0
496,0.42913,1
15773,0,0
1048,0.35472,1
20572,0,0
1357,0.14622,1
23340,0,0
1222,0.27668,1
14045,0,0
1569,0.22991,1
7165,0,0
1159,0.31523,1
345,0,0
414,0.29393,1
791,0,0
451,0.3572,1
64628,0,0
1569,0.27645,1
12980,0,0
1467,0.25197,1
64902,0,0
4303,0.12249,1
12716,0,0
1869,0.33955,1
682,0,0
975,0.46692,1
50513,0,0
1280,0.25984,1
914,0,0
885,0.17479,1
2029,0,0
195,0.10452,1
1766,0,0
904,0.19283,1
73269,0,0
1103,0.14691,1
85920,0,0
1119,0.34892,1
34998,0,0
1088,0.34292,1
52155,0,0
1108,0.31391,1
2099,0,0
894,0.17755,1
2091,0,0
476,0.062714,1
6466,0,0
477,0.072814,1
4190,0,0
654,0.3236,1
4174,0,0
1297,0.27292,1
67035,0,0
3342,0.23702,1
16661,0,0
357,0.053552,1
4828,0,0
2566,0.25395,1
2031,0,0
1095,0.34485,1
49347,0,0
1028,0.44035,1
3757,0,0
1105,0.36894,1
19741,0,0
1752,0.27285,1
9788,0,0
255,0.1151,1
337,0,0
1321,0.23298,1
41052,0,0
1174,0.19128,1
33711,0,0
358,0.098756,1
51477,0,0
1124,0.20926,1
5007,0,0
2100,0.14498,1
559,0,0
481,0.20813,1
