Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
2689,0.25354,1
35657,0,0
2797,0.27679,1
46538,0,0
2661,0.25038,1
77207,0,0
3478,0.2311,1
46071,0,0
2547,0.31837,1
33835,0,0
3462,0.20772,1
45540,0,0
2759,0.29441,1
2.6233e+005,0,0
220,0.15114,1
511,0,0
211,0.1207,1
285,0,0
5561,0.2762,1
1807,0,0
1116,0.089683,1
2177,0,0
7958,0.22455,1
55653,0,0
2905,0.24209,1
47224,0,0
2678,0.27948,1
33675,0,0
2797,0.28213,1
47078,0,0
2478,0.32395,1
50505,0,0
295,0.11572,1
1623,0,0
310,0.12851,1
4770,0,0
3467,0.39367,1
10122,0,0
1140,0.19867,1
21477,0,0
2672,0.27461,1
24017,0,0
2864,0.26395,1
45816,0,0
2642,0.32635,1
2.9983e+005,0,0
970,0.15998,1
25256,0,0
806,0.26758,1
20612,0,0
229,0.18529,1
1413,0,0
305,0.12762,1
31285,0,0
2920,0.26967,1
46598,0,0
2712,0.25223,1
34375,0,0
2716,0.31087,1
46565,0,0
2620,0.28674,1
76925,0,0
3644,0.19523,1
9.3273e+005,0,0
402,0.13025,1
1397,0,0
323,0.14067,1
66608,0,0
258,0.15791,1
437,0,0
413,0.10388,1
1.6089e+005,0,0
2918,0.2926,1
45454,0,0
2601,0.27531,1
174,0,0
286,0.12736,1
34763,0,0
2892,0.28041,1
45540,0,0
2703,0.26686,1
54222,0,0
398,0.10494,1
1738,0,0
305,0.13985,1
21438,0,0
3101,0.22872,1
44474,0,0
2653,0.30918,1
36532,0,0
2971,0.22455,1
44683,0,0
2674,0.3191,1
1.1476e+005,0,0
324,0.11612,1
1280,0,0
324,0.13988,1
73986,0,0
1082,0.15516,1
2280,0,0
895,0.20938,1
3.2706e+005,0,0
265,0.11737,1
975,0,0
272,0.1026,1
997,0,0
315,0.13341,1
18811,0,0
219,0.1418,1
1277,0,0
247,0.082354,1
3.2795e+005,0,0
309,0.11635,1
2291,0,0
320,0.11209,1
1.1058e+005,0,0
247,0.097426,1
1467,0,0
300,0.11026,1
1593,0,0
211,0.11518,1
871,0,0
219,0.10323,1
37939,0,0
2953,0.2608,1
46384,0,0
2657,0.28774,1
34640,0,0
2850,0.24981,1
45176,0,0
2729,0.27272,1
78395,0,0
4114,0.19748,1
43587,0,0
2474,0.37736,1
36009,0,0
2881,0.2573,1
39751,0,0
2330,0.4127,1
1.1411e+005,0,0
339,0.14337,1
1061,0,0
374,0.12039,1
1.7225e+005,0,0
289,0.15789,1
892,0,0
257,0.13864,1
54714,0,0
2847,0.24796,1
45786,0,0
2702,0.24961,1
35045,0,0
2909,0.24458,1
47513,0,0
2564,0.33175,1
76525,0,0
2983,0.24688,1
44612,0,0
2637,0.35374,1
35837,0,0
3054,0.25678,1
45712,0,0
2515,0.36828,1
15284,0,0
172,0.21977,1
355,0,0
171,0.21556,1
2.5474e+005,0,0
367,0.13693,1
1990,0,0
289,0.13842,1
17202,0,0
275,0.15735,1
179,0,0
281,0.1433,1
46650,0,0
2952,0.26948,1
46743,0,0
2485,0.34463,1
34256,0,0
2804,0.26491,1
46599,0,0
2469,0.33424,1
77463,0,0
3132,0.26946,1
44565,0,0
2478,0.37609,1
36236,0,0
2977,0.23718,1
44813,0,0
2341,0.40801,1
2.8129e+005,0,0
374,0.11122,1
1700,0,0
293,0.13664,1
55263,0,0
2875,0.24918,1
45303,0,0
2749,0.26441,1
35494,0,0
2825,0.25967,1
45148,0,0
2792,0.24927,1
52028,0,0
326,0.12643,1
1309,0,0
279,0.13276,1
23878,0,0
3930,0.20274,1
44343,0,0
2318,0.44632,1
23146,0,0
270,0.13019,1
218,0,0
209,0.1126,1
11252,0,0
226,0.17267,1
295,0,0
236,0.10482,1
723,0,0
3056,0.22279,1
44962,0,0
2274,0.48036,1
85814,0,0
1007,0.15831,1
32511,0,0
1014,0.18405,1
1.4503e+005,0,0
1254,0.14204,1
3114,0,0
1077,0.20721,1
68138,0,0
259,0.14668,1
127,0,0
2572,0.29428,1
44780,0,0
2840,0.24702,1
35699,0,0
2852,0.24397,1
46306,0,0
3117,0.2429,1
76972,0,0
2885,0.28205,1
44457,0,0
2368,0.41203,1
36524,0,0
3025,0.24349,1
45654,0,0
2323,0.41082,1
1.1232e+005,0,0
386,0.12925,1
1363,0,0
260,0.15857,1
1.815e+005,0,0
331,0.094722,1
193,0,0
300,0.1191,1
41683,0,0
2851,0.25082,1
45687,0,0
2770,0.24258,1
35068,0,0
2883,0.27146,1
46975,0,0
2399,0.38743,1
56859,0,0
477,0.11601,1
1764,0,0
263,0.16685,1
17794,0,0
3384,0.23667,1
43650,0,0
2544,0.36088,1
36543,0,0
3131,0.24703,1
44393,0,0
2591,0.34508,1
4313,0,0
238,0.18228,1
272,0,0
194,0.1346,1
11119,0,0
1211,0.15519,1
3680,0,0
1068,0.20009,1
63600,0,0
847,0.19169,1
25134,0,0
898,0.22249,1
597,0,0
363,0.063126,1
63746,0,0
216,0.17703,1
577,0,0
1178,0.12285,1
3388,0,0
1185,0.16576,1
74745,0,0
885,0.19235,1
25090,0,0
810,0.25764,1
794,0,0
241,0.068803,1
7127,0,0
347,0.11422,1
1928,0,0
300,0.1375,1
42798,0,0
3041,0.23353,1
48508,0,0
2524,0.31793,1
55833,0,0
3464,0.35638,1
13880,0,0
2527,0.33951,1
49275,0,0
945,0.18506,1
24774,0,0
1226,0.1931,1
379,0,0
337,0.074829,1
344,0,0
349,0.13515,1
615,0,0
333,0.13436,1
7171,0,0
3108,0.27412,1
45410,0,0
2589,0.32481,1
28824,0,0
333,0.15817,1
79,0,0
350,0.15652,1
6187,0,0
3049,0.27819,1
45525,0,0
2518,0.35732,1
5524,0,0
661,0.17119,1
1470,0,0
572,0.1392,1
1246,0,0
1051,0.19862,1
13926,0,0
251,0.12958,1
1084,0,0
1298,0.14162,1
767,0,0
1139,0.16824,1
5.1042e+005,0,0
307,0.11676,1
941,0,0
345,0.12762,1
266,0,0
196,0.11375,1
12453,0,0
2868,0.30241,1
44726,0,0
2501,0.36829,1
36133,0,0
